city,country,latitude,longitude,mayor,elevation,municipality_population,density,GDP
Amsterdam,Netherlands,52°22′22″N,04°53′37″E,Femke Halsema(GL),−2 m (−7 ft),"933,680","5,277/km2(13,670/sq mi)",€201.100 billion (2022)
Berlin,Germany,52°31′12″N,13°24′18″E,Kai Wegner(CDU),34 m (112 ft),"3,878,100","4,213/km2(10,910/sq mi)",€193.219 billion (2023)
Prague,Czech Republic,50°5′15″N,14°25′17″E,Bohuslav Svoboda(ODS),,"1,384,732","2,800/km2(7,200/sq mi)",€78.414 billion (2022)
Madrid,Spain,40°25′01″N,03°42′12″W,José Luis Martínez-Almeida(PP),"650 m (2,130 ft)","3,223,334","5,300/km2(14,000/sq mi)",€135.6 billion (2020)[5]
Brussels,Belgium,50°50′48″N,04°21′09″E,,13 m (43 ft),"1,249,597","7,700/km2(20,000/sq mi)",€96.513 billion (2022)[9]
Stockholm,Sweden,59°19′46″N,18°4′7″E,Karin Wanngård(S),28 m (92 ft),"984,748","5,200/km2(14,000/sq mi)",€171.269 billion (2021)
Oslo,Norway,59°54′48″N,10°44′20″E,Anne Lindboe(H),,"709,037",,€70.970 billion (2021)[7]
Barcelona,Spain,41°22′58″N,02°10′37″E,Jaume Collboni[1](PSC–PSOE),12 m (39 ft),"1,620,343","16,000/km2(41,000/sq mi)",€159.8 billion (2020)
Seville,Spain,37°23′24″N,5°59′24″W,José Luis Sanz(PP),7 m (23 ft),"684,234","4,900/km2(13,000/sq mi)",€36.785 billion (2020)
Valencia,Spain,39°28′12″N,00°22′35″W,María José Catalá(since 2023) (PP),15 m (49 ft),"807,693[1]","5,998.5/km2(15,536/sq mi)",€56.413 billion (2020)
Edinburgh,Scotland,55°57′12″N,03°11′21″W,,154 ft (47 m),"506,520","11,000/sq mi (4,300/km2)",£31.802 billion (2022)
Glasgow,Scotland,55°51′40″N,04°15′00″W,,,"622,820[3]","9,210/sq mi (3,555/km2)",£28.439 billion (2022)
Bologna,Italy,44°29′38″N,11°20′34″E,Matteo Lepore(PD),54 m (177 ft),"394,843","2,800/km2(7,300/sq mi)",€39.502 billion (2015)
Hamburg,Germany,53°33′N,10°00′E,Peter Tschentscher(SPD),,"1,964,021","2,600/km2(6,700/sq mi)",€144.220 billion (2022)
Belgrade,Serbia,44°49′04″N,20°27′25″E,Aleksandar Šapić,117 m (384 ft),"1,197,714[1]","3,078/km2(7,970/sq mi)",$34.141 billion (2023)
